RUNTIME   CONSUMER                          DISTRIBUTION            SPEC           PROVIDER  RDEP  BUILT VER  STATUS
Ravencalc symoneural-httpcore               h11                     >=0.16         SYMONEURA y     y     ok   PASS
Ravencalc symoneural-httpx                  anyio                   any            SYMONEURA y     y     ?    PASS
Ravencalc symoneural-httpx                  certifi                 any            SYMONEURA y     y     ?    PASS
Ravencalc symoneural-httpx                  httpcore                ==1.*          SYMONEURA y     y     ok   PASS
Ravencalc symoneural-httpx                  idna                    any            SYMONEURA y     y     ?    PASS
Ravencalc symoneural-joblib                 cloudpickle             >=3.0          SYMONEURA y     y     ok   PASS
Ravencalc symoneural-pydantic               annotated-types         >=0.6.0        SYMONEURA y     y     ok   PASS
Ravencalc symoneural-pydantic               pydantic-core           ==2.46.5       SYMONEURA y     y     ok   PASS
Ravencalc symoneural-pydantic               typing-extensions       >=4.14.1       SYMONEURA y     y     ok   PASS
Ravencalc symoneural-pydantic               typing-inspection       >=0.4.2        SYMONEURA y     y     ok   PASS
Ravencalc symoneural-pydantic-core          typing-extensions       >=4.14.1       SYMONEURA y     y     ok   PASS
Ravencalc symoneural-scikit-learn           numpy                   >=1.24.1       SYMONEURA y     y     ok   PASS
Ravencalc symoneural-scikit-learn           scipy                   >=1.10.0       SYMONEURA y     y     ok   PASS
Ravencalc symoneural-scikit-learn           joblib                  >=1.4.0        SYMONEURA y     y     ok   PASS
Ravencalc symoneural-scikit-learn           narwhals                >=2.0.1        SYMONEURA y     y     ok   PASS
Ravencalc symoneural-scikit-learn           threadpoolctl           >=3.5.0        SYMONEURA y     y     ok   PASS
Ravencalc symoneural-scipy                  numpy                   <2.8,>=2.0.0   SYMONEURA y     y     ok   PASS
Ravencalc symoneural-starlette              anyio                   <5,>=3.6.2     SYMONEURA y     y     ok   PASS
Ravencalc symoneural-sympy                  mpmath                  <1.4,>=1.1.0   SYMONEURA y     y     ok   PASS
Ravencalc symoneural-typing-inspection      typing-extensions       >=4.15.0       SYMONEURA y     y     ok   PASS
Ravencalc symoneural-uvicorn                click                   >=7.0          SYMONEURA y     y     ok   PASS
Ravencalc symoneural-uvicorn                h11                     >=0.8          SYMONEURA y     y     ok   PASS

extras selected by consumers (evaluated as RUNTIME REQUIRED): pyjwt[crypto]
not required for the target (extras not selected / marker false): 1129
  MISSING PACKAGE                    1
  PASS                               186
API: 18 direct wheels, 15 distinct runtime requirements -> 18 upstream runtime sources (direct + transitive first level)
Adaptive-Fabric: 0 direct wheels, 0 distinct runtime requirements -> 0 upstream runtime sources (direct + transitive first level)
Build: 0 direct wheels, 0 distinct runtime requirements -> 0 upstream runtime sources (direct + transitive first level)
CLI: 28 direct wheels, 34 distinct runtime requirements -> 38 upstream runtime sources (direct + transitive first level)
Common: 45 direct wheels, 41 distinct runtime requirements -> 45 upstream runtime sources (direct + transitive first level)
Crypto: 0 direct wheels, 0 distinct runtime requirements -> 0 upstream runtime sources (direct + transitive first level)
LLM: 1 direct wheels, 0 distinct runtime requirements -> 1 upstream runtime sources (direct + transitive first level)
Live: 0 direct wheels, 0 distinct runtime requirements -> 0 upstream runtime sources (direct + transitive first level)
Ravencalc: 28 direct wheels, 22 distinct runtime requirements -> 28 upstream runtime sources (direct + transitive first level)
Remix: 0 direct wheels, 0 distinct runtime requirements -> 0 upstream runtime sources (direct + transitive first level)
Streamer: 0 direct wheels, 0 distinct runtime requirements -> 0 upstream runtime sources (direct + transitive first level)
Web: 0 direct wheels, 0 distinct runtime requirements -> 0 upstream runtime sources (direct + transitive first level)
RESULT: FAIL (MISSING PACKAGE)
